time,rainfall_mm
2021-06-04,0.0
2021-06-05,5.2
2021-06-06,0.4
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,1.6
2021-06-10,3.4
2021-06-11,0.6
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.2
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,0.4
2021-06-20,0.4
2021-06-21,11.2
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.4
2021-06-25,8.6
2021-06-26,2.0
2021-06-27,27.6
2021-06-28,12.2
2021-06-29,0.6
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,1.0
2021-07-03,7.4
2021-07-04,3.8
2021-07-05,23.8
2021-07-06,4.2
2021-07-07,6.0
2021-07-08,0.0
2021-07-09,18.2
2021-07-10,6.8
2021-07-11,8.0
2021-07-12,0.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,0.0
2021-07-20,0.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-24,1.2
2021-07-25,0.0
2021-07-26,0.2
2021-07-27,2.6
2021-07-28,4.4
2021-07-29,8.6
2021-07-30,1.6
2021-07-31,0.8
2021-08-01,0.2
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,0.0
2021-08-05,8.6
2021-08-06,0.4
2021-08-07,25.0
2021-08-08,9.8
2021-08-09,2.2
2021-08-10,0.0
2021-08-11,1.6
2021-08-12,0.0
2021-08-13,0.0
2021-08-14,0.2
2021-08-15,0.8
2021-08-16,0.0
2021-08-17,0.0
2021-08-18,1.2
2021-08-19,2.0
2021-08-20,0.8
2021-08-21,2.4
2021-08-22,1.0
2021-08-23,0.0
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,0.0
2021-08-27,0.0
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-04,0.0
2021-09-05,0.0
2021-09-06,0.2
2021-09-07,0.0
2021-09-08,13.2
2021-09-09,3.0
2021-09-10,1.8
2021-09-11,0.0
2021-09-12,1.8
2021-09-13,6.2
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,2.6
2021-09-18,0.4
2021-09-19,1.2
2021-09-20,2.6
2021-09-21,0.0
2021-09-22,0.2
2021-09-23,0.8
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,2.0
2021-09-27,22.8
2021-09-28,22.4
2021-09-29,0.6
2021-09-30,4.4
2021-10-01,1.8
2021-10-02,19.2
2021-10-03,5.8
2021-10-04,27.6
2021-10-05,1.4
2021-10-06,0.4
2021-10-07,1.0
2021-10-08,0.0
2021-10-09,0.2
2021-10-10,0.0
2021-10-11,0.2
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.2
2021-10-17,0.0
2021-10-18,12.2
2021-10-19,27.4
2021-10-20,20.4
2021-10-21,1.8
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,2.8
2021-10-25,6.0
2021-10-26,0.8
2021-10-27,0.2
2021-10-28,25.2
2021-10-29,20.6
2021-10-30,3.4
2021-10-31,16.0
2021-11-01,3.0
2021-11-02,3.6
2021-11-03,4.8
2021-11-04,4.0
2021-11-05,0.0
2021-11-06,2.6
2021-11-07,0.4
2021-11-08,0.6
2021-11-09,3.6
2021-11-10,3.0
2021-11-11,0.2
2021-11-12,2.6
2021-11-13,1.8
2021-11-14,4.8
2021-11-15,0.4
2021-11-16,1.6
2021-11-17,0.4
2021-11-18,0.6
2021-11-19,0.2
2021-11-20,0.4
2021-11-21,2.8
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,6.6
2021-11-25,7.8
2021-11-26,4.4
2021-11-27,7.4
2021-11-28,0.8
2021-11-29,1.0
2021-11-30,6.8
2021-12-01,3.4
2021-12-02,1.8
2021-12-03,28.4
2021-12-04,1.4
2021-12-05,0.4
2021-12-06,7.6
2021-12-07,15.0
2021-12-08,1.6
2021-12-09,10.4
2021-12-10,0.6
2021-12-11,2.4
2021-12-12,0.4
2021-12-13,0.0
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.2
2021-12-21,0.0
2021-12-22,2.8
2021-12-23,2.2
2021-12-24,2.4
2021-12-25,5.6
2021-12-26,0.4
2021-12-27,18.0
2021-12-28,6.4
2021-12-29,12.0
2021-12-30,0.2
2021-12-31,2.2
2022-01-01,0.0
2022-01-02,1.6
2022-01-03,15.2
2022-01-04,4.0
2022-01-05,0.4
2022-01-06,6.6
2022-01-07,15.4
2022-01-08,23.6
2022-01-09,12.2
2022-01-10,3.0
2022-01-11,2.2
2022-01-12,0.0
2022-01-13,0.2
2022-01-14,0.2
2022-01-15,2.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,1.2
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.2
2022-01-27,3.8
2022-01-28,1.2
2022-01-29,0.8
2022-01-30,0.8
2022-01-31,0.0
2022-02-01,0.2
2022-02-02,0.0
2022-02-03,0.4
2022-02-04,4.6
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,1.6
2022-02-08,0.8
2022-02-09,2.4
2022-02-10,2.8
2022-02-11,0.0
2022-02-12,6.2
2022-02-13,14.4
2022-02-14,5.2
2022-02-15,12.8
2022-02-16,1.4
2022-02-17,4.0
2022-02-18,2.6
2022-02-19,4.4
2022-02-20,1.0
2022-02-21,1.0
2022-02-22,0.6
2022-02-23,0.6
2022-02-24,5.8
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,21.2
2022-03-01,22.2
2022-03-02,14.4
2022-03-03,3.6
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,2.6
2022-03-09,5.0
2022-03-10,1.6
2022-03-11,7.0
2022-03-12,11.4
2022-03-13,0.4
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,1.4
2022-03-30,0.0
2022-03-31,6.0
2022-04-01,0.8
2022-04-02,8.0
2022-04-03,0.0
2022-04-04,5.0
2022-04-05,0.2
2022-04-06,9.4
2022-04-07,8.6
2022-04-08,11.4
2022-04-09,0.2
2022-04-10,0.0
2022-04-11,1.0
2022-04-12,2.2
2022-04-13,0.2
2022-04-14,0.0
2022-04-15,0.2
